시도,시군구,행정구역명,행정구역코드,신호등,횡단보도,과속방지턱,노인보호구역,공공 체육시설,독거노인,저소득 독거노인,CCTV,면적,전통시장,도시공원,노인 교통사고,총 노인인구수,남자 노인인구수,여자 노인인구수,총생활인구수
서울특별시,구로구,구로5동,1117056,205 ,189 ,60 ,1 ,2 ,917 ,30 ,0 ,1 ,0 ,3 ,20 ,33690 ,16572 ,17118 ,4918 
서울특별시,은평구,구산동,1112057,74 ,43 ,125 ,2 ,1 ,1235 ,56 ,7 ,1 ,0 ,8 ,13 ,33843 ,16835 ,17008 ,4697 
서울특별시,광진구,구의1동,1105060,34 ,47 ,0 ,1 ,0 ,691 ,47 ,0 ,1 ,0 ,1 ,9 ,23126 ,11047 ,12079 ,3512 
서울특별시,광진구,구의2동,1105061,104 ,63 ,0 ,0 ,3 ,891 ,66 ,2 ,1 ,0 ,3 ,10 ,28032 ,13518 ,14514 ,4182 
서울특별시,광진구,구의3동,1105062,165 ,86 ,0 ,1 ,0 ,669 ,30 ,8 ,1 ,0 ,5 ,10 ,30179 ,14399 ,15780 ,4417 
서울특별시,광진구,군자동,1105054,73 ,76 ,7 ,0 ,0 ,719 ,41 ,6 ,1 ,0 ,2 ,18 ,22142 ,10877 ,11265 ,2296 
서울특별시,성동구,금호1가동,1104059,118 ,45 ,3 ,0 ,3 ,612 ,37 ,0 ,0 ,0 ,1 ,2 ,15974 ,7641 ,8333 ,2697 
서울특별시,성동구,금호2·3가동,1104072,23 ,40 ,0 ,0 ,4 ,902 ,40 ,0 ,1 ,2 ,5 ,5 ,24299 ,11593 ,12706 ,4329 
서울특별시,성동구,금호4가동,1104062,50 ,43 ,0 ,0 ,2 ,527 ,26 ,0 ,1 ,0 ,1 ,9 ,15283 ,7320 ,7963 ,2131 
서울특별시,강동구,길동,1125074,224 ,178 ,192 ,0 ,1 ,1455 ,77 ,11 ,2 ,2 ,4 ,36 ,46720 ,22881 ,23839 ,9201 
서울특별시,성북구,길음1동,1108066,125 ,82 ,3 ,0 ,0 ,705 ,55 ,8 ,1 ,1 ,9 ,7 ,37263 ,17772 ,19491 ,4935 
서울특별시,성북구,길음2동,1108068,87 ,82 ,0 ,0 ,0 ,574 ,33 ,4 ,1 ,0 ,2 ,17 ,16545 ,8050 ,8495 ,3639 
서울특별시,관악구,낙성대동,1121058,87 ,49 ,57 ,3 ,5 ,528 ,14 ,2 ,2 ,0 ,5 ,0 ,17736 ,8834 ,8902 ,3085 
서울특별시,관악구,난곡동,1121081,31 ,12 ,49 ,0 ,0 ,1356 ,63 ,5 ,1 ,2 ,4 ,0 ,29173 ,14693 ,14480 ,3496 
서울특별시,관악구,난향동,1121071,55 ,48 ,26 ,0 ,0 ,605 ,32 ,6 ,1 ,0 ,1 ,0 ,16436 ,8110 ,8326 ,1855 
서울특별시,서대문구,남가좌1동,1113069,105 ,30 ,0 ,0 ,0 ,364 ,13 ,2 ,1 ,2 ,4 ,11 ,17029 ,8221 ,8808 ,2399 
서울특별시,서대문구,남가좌2동,1113070,131 ,62 ,14 ,0 ,0 ,1086 ,70 ,10 ,1 ,1 ,4 ,11 ,25729 ,12324 ,13405 ,3458 
서울특별시,용산구,남영동,1103053,70 ,76 ,25 ,0 ,0 ,1229 ,16 ,0 ,1 ,0 ,3 ,18 ,8521 ,5119 ,3402 ,2505 
서울특별시,관악구,남현동,1121063,25 ,19 ,60 ,0 ,0 ,471 ,31 ,6 ,3 ,0 ,5 ,0 ,19032 ,9148 ,9884 ,4031 
서울특별시,서초구,내곡동,1122068,130 ,41 ,30 ,1 ,1 ,647 ,32 ,5 ,13 ,0 ,12 ,7 ,18545 ,9030 ,9515 ,4563 
서울특별시,동작구,노량진1동,1120072,85 ,114 ,0 ,1 ,7 ,1314 ,91 ,0 ,2 ,3 ,4 ,14 ,32603 ,16165 ,16438 ,5537 
서울특별시,동작구,노량진2동,1120052,30 ,15 ,0 ,0 ,0 ,908 ,63 ,0 ,1 ,1 ,1 ,14 ,13954 ,7169 ,6785 ,3197 
서울특별시,은평구,녹번동,1112051,106 ,78 ,80 ,0 ,2 ,1843 ,68 ,3 ,2 ,0 ,10 ,17 ,38158 ,18352 ,19806 ,6460 
서울특별시,강남구,논현1동,1123052,104 ,125 ,0 ,1 ,1 ,571 ,11 ,0 ,1 ,2 ,2 ,24 ,23810 ,11081 ,12729 ,4718 
