검색조건 - 분류항목 : 보행노인사고 다발지역; 세분류 : 17년 보행노인사고 다발지역; 시도 : :: 전체 ::,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 도봉구5,서울특별시 도봉구 도봉동(도봉역2번출구 부근),2,2,1,0,1,0
서울특별시 노원구1,서울특별시 노원구 상계동(우물집원조추어탕순대국 부근),4,4,0,3,1,0
서울특별시 노원구2,서울특별시 노원구 상계동(수락산역4번출구 부근),4,4,0,3,1,0
서울특별시 노원구3,서울특별시 노원구 상계동(한국전력공사노원도봉지사 부근),3,4,2,1,1,0
서울특별시 노원구4,서울특별시 노원구 공릉동(배꽃나라주유소 부근),3,3,1,1,1,0
서울특별시 노원구5,서울특별시 노원구 공릉동(공릉볼링센타 부근),3,3,0,2,1,0
서울특별시 은평구1,서울특별시 은평구 응암동(응암오거리 부근),6,6,1,4,1,0
서울특별시 은평구2,서울특별시 은평구 신사동(와산교교차로 부근),5,5,0,3,2,0
서울특별시 은평구3,서울특별시 은평구 불광동(연신내역 부근),4,7,0,2,5,0
서울특별시 은평구4,서울특별시 은평구 역촌동(역말사거리 부근),3,3,1,0,2,0
서울특별시 은평구5,서울특별시 은평구 응암동(드림캐시아주상복합 부근),3,5,0,2,3,0
서울특별시 은평구6,서울특별시 은평구 대조동(대조불광시장교차로 부근),3,3,0,2,1,0
서울특별시 은평구7,서울특별시 은평구 불광동(불광지구대 부근),3,3,0,1,2,0
서울특별시 서대문구1,서울특별시 서대문구 북가좌동(북가좌사거리 부근),5,5,0,3,2,0
서울특별시 서대문구2,서울특별시 서대문구 홍은동(홍연2교교차로 부근),4,4,0,3,1,0
서울특별시 서대문구3,서울특별시 서대문구 홍제동(홍제역 부근),4,4,0,2,1,1
서울특별시 서대문구4,서울특별시 서대문구 홍제동(홍제삼거리 부근),3,5,0,2,3,0
서울특별시 서대문구5,서울특별시 서대문구 홍제동(홍제교 부근),3,3,0,2,1,0
서울특별시 서대문구6,서울특별시 서대문구 홍은동(홍은파출소 부근),3,4,0,2,0,2
서울특별시 서대문구7,서울특별시 서대문구 홍제동(7호포차 부근),2,2,1,1,0,0
서울특별시 마포구1,서울특별시 마포구 성산동(가좌삼거리 부근),5,5,1,2,1,1
서울특별시 마포구2,서울특별시 마포구 서교동(서교동사거리 부근),5,5,1,1,3,0
서울특별시 마포구3,서울특별시 마포구 망원동(한강공원입구교차로 부근),5,5,0,3,2,0
서울특별시 마포구4,서울특별시 마포구 망원동(LG베스트샵월드컵점 부근),4,4,0,4,0,0
서울특별시 양천구1,서울특별시 양천구 목동(다이소등촌시장점 부근),6,6,0,2,3,1
