검색조건 - 분류항목 : 보행노인사고 다발지역; 세분류 : 19년 보행노인사고 다발지역; 시도 : :: 전체 ::,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 종로구1,서울특별시 종로구 낙원동(기업은행 부근),7,7,0,3,3,1
서울특별시 종로구2,서울특별시 종로구 숭인동(영도교남단 부근),5,5,0,2,3,0
서울특별시 중구1,서울특별시 중구 을지로5가(중부시장앞 부근),5,5,2,2,1,0
서울특별시 중구2,서울특별시 중구 을지로6가(흥인시장 부근),3,3,0,2,1,0
서울특별시 용산구1,서울특별시 용산구 한남동(순천향병원 부근),4,4,0,2,2,0
서울특별시 성동구1,서울특별시 성동구 성수동1가(뚝섬역 부근),4,4,1,1,2,0
서울특별시 성동구2,서울특별시 성동구 성수동2가(뚝도시장 부근),3,3,0,3,0,0
서울특별시 성동구3,서울특별시 성동구 홍익동(청계벽산상가 부근),3,3,0,2,1,0
서울특별시 광진구1,서울특별시 광진구 능동(하나은행중곡동지점 부근),3,3,1,2,0,0
서울특별시 동대문구1,서울특별시 동대문구 제기동(경동시장 부근),13,14,0,7,6,1
서울특별시 동대문구2,서울특별시 동대문구 제기동(우리은행청량리중앙지 부근),12,12,0,8,4,0
서울특별시 동대문구3,서울특별시 동대문구 청량리동(옥치과의원 부근),7,7,0,5,2,0
서울특별시 동대문구4,서울특별시 동대문구 신설동(신설동역일반국도6호선 부근),7,7,0,3,3,1
서울특별시 동대문구5,서울특별시 동대문구 제기동(제기사거리 부근),6,6,0,4,2,0
서울특별시 동대문구6,서울특별시 동대문구 청량리동(영휘원 부근),5,5,0,5,0,0
서울특별시 동대문구7,서울특별시 동대문구 장안동(장안동우리은행 부근),5,5,0,2,2,1
서울특별시 동대문구8,서울특별시 동대문구 답십리동(쌍마빌딩 부근),3,4,0,4,0,0
서울특별시 동대문구9,서울특별시 동대문구 휘경동(백합빌딩 부근),3,3,0,3,0,0
서울특별시 동대문구10,서울특별시 동대문구 용두동(마장동사거리 부근),3,3,0,0,3,0
서울특별시 동대문구11,서울특별시 동대문구 청량리동(청량리정신병원입구 부근),3,3,0,0,2,1
서울특별시 중랑구1,서울특별시 중랑구 면목동(사가정역 부근),8,8,1,3,4,0
서울특별시 중랑구2,서울특별시 중랑구 중화동(장안중교 부근),6,6,0,2,3,1
서울특별시 중랑구3,서울특별시 중랑구 묵동(구묵동사거리 부근),5,5,1,3,1,0
서울특별시 중랑구4,서울특별시 중랑구 묵동(해성교회 부근),5,7,1,2,4,0
서울특별시 중랑구5,서울특별시 중랑구 면목동(신한은행면목지점 부근),5,5,0,3,2,0
서울특별시 중랑구6,서울특별시 중랑구 면목동(예삐유치원 부근),5,6,0,2,4,0
서울특별시 중랑구7,서울특별시 중랑구 신내동(신내주유소 부근),4,4,0,3,1,0
서울특별시 중랑구8,서울특별시 중랑구 면목동(면목교 부근),4,4,0,3,1,0
서울특별시 중랑구9,서울특별시 중랑구 망우동(망우역 부근),3,3,1,1,1,0
서울특별시 중랑구10,서울특별시 중랑구 면목동(용마산역 부근),3,3,0,3,0,0
서울특별시 중랑구11,서울특별시 중랑구 면목동(동부간선도로일반국도6 부근),3,3,0,2,1,0
서울특별시 성북구1,서울특별시 성북구 장위동(신한은행장위지점 부근),6,6,0,4,2,0
서울특별시 성북구2,서울특별시 성북구 하월곡동(방천시장입구 부근),6,6,0,4,2,0
서울특별시 성북구3,서울특별시 성북구 장위동(부동산 부근),4,4,0,3,1,0
서울특별시 성북구4,서울특별시 성북구 정릉동(정릉4동사무소 부근),4,4,0,3,1,0
서울특별시 성북구5,서울특별시 성북구 하월곡동(종암사거리종암로진출 부근),4,4,0,3,1,0
서울특별시 성북구6,서울특별시 성북구 하월곡동(월곡시장 부근),4,4,0,1,2,1
서울특별시 성북구7,서울특별시 성북구 돈암동(스카이웨이주유소 부근),3,4,1,2,1,0
서울특별시 성북구8,서울특별시 성북구 석관동(돌곶이역 부근),3,3,1,2,0,0
서울특별시 성북구9,서울특별시 성북구 석관동(장위사거리 부근),3,3,1,0,2,0
서울특별시 성북구10,서울특별시 성북구 동소문동7가(흥천사입구 부근),3,4,0,4,0,0
서울특별시 성북구11,서울특별시 성북구 하월곡동(이삭교회정릉길진입2 부근),3,3,0,2,1,0
서울특별시 성북구12,서울특별시 성북구 성북동(참나무닭나라 부근),3,3,0,1,2,0
서울특별시 성북구13,서울특별시 성북구 종암동(종암동근린생활시설 부근),3,3,0,1,1,1
서울특별시 성북구14,서울특별시 성북구 안암동5가(안암역 부근),3,4,0,0,3,1
서울특별시 강북구1,서울특별시 강북구 번동(오현로32길3 부근),7,7,1,3,3,0
서울특별시 강북구2,서울특별시 강북구 미아동(삼양사거리 부근),5,5,0,4,1,0
서울특별시 강북구3,서울특별시 강북구 미아동(미아삼거리역 부근),5,5,0,4,1,0
서울특별시 강북구4,서울특별시 강북구 수유동(이화순대국전문 부근),5,5,0,2,3,0
서울특별시 강북구5,서울특별시 강북구 미아동(북부안식일교회 부근),4,6,0,4,2,0
서울특별시 강북구6,서울특별시 강북구 미아동(미아4동사무소 부근),4,4,0,4,0,0
서울특별시 강북구7,서울특별시 강북구 미아동(지성한의원 부근),4,5,0,3,2,0
서울특별시 강북구8,서울특별시 강북구 우이동(와락닭매운탕 부근),4,6,0,2,4,0
서울특별시 강북구9,서울특별시 강북구 수유동(삼성화재번동사옥 부근),4,4,0,0,4,0
서울특별시 강북구10,서울특별시 강북구 수유동(국민마트 부근),3,3,0,2,1,0
서울특별시 도봉구1,서울특별시 도봉구 창동(창동견인차량보관소 부근),7,8,0,6,2,0
서울특별시 도봉구2,서울특별시 도봉구 방학동(방학프라자 부근),5,5,0,2,2,1
서울특별시 도봉구3,서울특별시 도봉구 쌍문동(정의여중고 부근),3,3,1,2,0,0
서울특별시 도봉구4,서울특별시 도봉구 쌍문동(창동변전소 부근),3,3,0,3,0,0
서울특별시 도봉구5,서울특별시 도봉구 창동(강북구도봉구경계4 부근),2,2,1,1,0,0
서울특별시 노원구1,서울특별시 노원구 상계동(흥부전놀부전 부근),6,6,0,4,2,0
서울특별시 노원구2,서울특별시 노원구 상계동(삼정의원 부근),4,5,1,2,2,0
서울특별시 노원구3,서울특별시 노원구 월계동(인덕공전 부근),3,3,0,2,1,0
서울특별시 은평구1,서울특별시 은평구 갈현동(신한은행연신내지점 부근),8,8,0,4,4,0
서울특별시 은평구2,서울특별시 은평구 대조동(불광로28 부근),6,6,0,3,3,0
서울특별시 은평구3,서울특별시 은평구 응암동(파리바게뜨 부근),5,6,0,3,3,0
서울특별시 은평구4,서울특별시 은평구 역촌동(서부경찰서 부근),3,3,0,3,0,0
서울특별시 은평구5,서울특별시 은평구 갈현동(구산사거리 부근),3,3,0,2,1,0
서울특별시 은평구6,서울특별시 은평구 신사동(신사연세치과 부근),3,3,0,1,2,0
서울특별시 서대문구1,서울특별시 서대문구 북아현동(굴레방다리 부근),6,6,0,4,2,0
서울특별시 서대문구2,서울특별시 서대문구 충정로3가(충정로역가구상가서소 부근),5,5,0,4,1,0
서울특별시 서대문구3,서울특별시 서대문구 창천동(신촌현대백화점 부근),5,5,0,4,1,0
서울특별시 서대문구4,서울특별시 서대문구 홍제동(인왕초등교 부근),4,5,2,2,1,0
서울특별시 서대문구5,서울특별시 서대문구 홍제동(인왕APT 부근),4,4,0,3,1,0
서울특별시 서대문구6,서울특별시 서대문구 홍은동(홍연2교 부근),4,4,0,2,2,0
서울특별시 서대문구7,서울특별시 서대문구 홍제동(홍은사거리통일로진출 부근),3,3,1,2,0,0
서울특별시 서대문구8,서울특별시 서대문구 연희동(연희동성당앞 부근),3,3,0,2,0,1
서울특별시 마포구1,서울특별시 마포구 성산동(평강교회 부근),3,3,0,3,0,0
서울특별시 마포구2,서울특별시 마포구 대흥동(대흥동사무소 부근),3,3,0,1,2,0
서울특별시 양천구1,서울특별시 양천구 목동(SC제일은행등촌지점 부근),10,10,0,4,6,0
서울특별시 양천구2,서울특별시 양천구 신월동(양강중학교앞 부근),5,5,0,2,3,0
서울특별시 양천구3,서울특별시 양천구 목동(덕수프라자 부근),4,4,0,2,2,0
서울특별시 양천구4,서울특별시 양천구 신정동(신트리현대아파트501동 부근),3,3,0,3,0,0
서울특별시 양천구5,서울특별시 양천구 신정동(삼익쇼핑지하상가 부근),3,3,0,2,1,0
서울특별시 양천구6,서울특별시 양천구 신정동(담우빌딩 부근),2,2,1,1,0,0
서울특별시 강서구1,서울특별시 강서구 화곡동(신정여상 부근),6,6,1,2,3,0
서울특별시 강서구2,서울특별시 강서구 등촌동(가양5단지 부근),6,6,0,3,3,0
서울특별시 강서구3,서울특별시 강서구 화곡동(청구빌라트 부근),4,4,0,1,3,0
서울특별시 강서구4,서울특별시 강서구 공항동(신한은행앞 부근),4,4,0,1,3,0
서울특별시 강서구5,서울특별시 강서구 화곡동(동면빌딩 부근),3,3,0,2,1,0
서울특별시 강서구6,서울특별시 강서구 등촌동(강서요양병원 부근),3,3,0,2,1,0
서울특별시 강서구7,서울특별시 강서구 화곡동(해바라기주유소입구 부근),2,2,1,0,1,0
서울특별시 구로구1,서울특별시 구로구 구로동(유풍빌딩 부근),5,5,0,5,0,0
서울특별시 구로구2,서울특별시 구로구 구로동(영서중 부근),5,5,0,4,1,0
서울특별시 구로구3,서울특별시 구로구 가리봉동(남구로역 부근),4,4,0,1,3,0
서울특별시 구로구4,서울특별시 구로구 개봉동(조양빌딩 부근),3,3,0,2,1,0
서울특별시 금천구1,서울특별시 금천구 시흥동(형제주유소입구 부근),6,6,0,2,4,0
서울특별시 금천구2,서울특별시 금천구 독산동(시흥사거리 부근),5,5,0,2,3,0
서울특별시 금천구3,서울특별시 금천구 독산동(독산사거리 부근),3,3,1,1,1,0
서울특별시 영등포구1,서울특별시 영등포구 영등포동4가(영등포역 부근),7,7,0,4,2,1
서울특별시 영등포구2,서울특별시 영등포구 당산동3가(서림빌딩 부근),5,5,0,2,3,0
