검색조건 - 분류항목 : 보행노인사고 다발지역; 세분류 : 19년 보행노인사고 다발지역; 시도 : :: 전체 ::,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 영등포구3,서울특별시 영등포구 영등포동3가(선한치과 부근),4,4,0,4,0,0
서울특별시 영등포구4,서울특별시 영등포구 신길동(하이마트 부근),4,4,0,3,1,0
서울특별시 영등포구5,서울특별시 영등포구 여의도동(한양수퍼앞 부근),4,4,0,0,3,1
서울특별시 영등포구6,서울특별시 영등포구 신길동(영등포농협 부근),3,4,0,2,2,0
서울특별시 영등포구7,서울특별시 영등포구 문래동6가(제일종합카센타 부근),3,3,0,1,2,0
서울특별시 동작구1,서울특별시 동작구 상도동(상도3동주민센터 부근),9,11,0,7,3,1
서울특별시 동작구2,서울특별시 동작구 사당동(대우디오슈페리움2 부근),6,7,0,5,1,1
서울특별시 동작구3,서울특별시 동작구 상도동(럭키하이퍼마켓 부근),6,7,0,3,3,1
서울특별시 동작구4,서울특별시 동작구 사당동(대성문구인쇄 부근),4,12,0,4,8,0
서울특별시 동작구5,서울특별시 동작구 상도동(리치타운 부근),4,5,0,3,1,1
서울특별시 동작구6,서울특별시 동작구 노량진동(타코야 부근),4,5,0,2,3,0
서울특별시 동작구7,서울특별시 동작구 사당동(사당시장 부근),3,3,0,3,0,0
서울특별시 관악구1,서울특별시 관악구 신림동(뿌리약국 부근),9,9,0,5,4,0
서울특별시 관악구2,서울특별시 관악구 신림동(신림4동사무소입구 부근),5,6,1,1,4,0
서울특별시 관악구3,서울특별시 관악구 봉천동(봉천로사거리 부근),4,4,0,4,0,0
서울특별시 관악구4,서울특별시 관악구 신림동(청암인터그린타워 부근),4,4,0,2,2,0
서울특별시 관악구5,서울특별시 관악구 봉천동(보라매공원 부근),3,3,2,1,0,0
서울특별시 관악구6,서울특별시 관악구 신림동(금성빌딩 부근),3,3,1,1,1,0
서울특별시 관악구7,서울특별시 관악구 신림동(구로디지털단지역 부근),3,3,0,2,1,0
서울특별시 관악구8,서울특별시 관악구 봉천동(현대시장 부근),3,3,0,1,2,0
서울특별시 서초구1,서울특별시 서초구 잠원동(반포쇼핑센타 부근),4,4,1,3,0,0
서울특별시 서초구2,서울특별시 서초구 방배동(사당역 부근),3,4,1,2,1,0
서울특별시 강남구1,서울특별시 강남구 수서동(수서삼익아파트4단지상 부근),5,6,0,3,2,1
서울특별시 강남구2,서울특별시 강남구 역삼동(신논현역 부근),3,3,1,1,1,0
서울특별시 강남구3,서울특별시 강남구 신사동(벽당빌딩 부근),3,3,1,0,2,0
서울특별시 강남구4,서울특별시 강남구 청담동(강남구청역 부근),3,4,0,2,2,0
서울특별시 송파구1,서울특별시 송파구 잠실동(잠실천주교회 부근),6,7,0,2,5,0
서울특별시 송파구2,서울특별시 송파구 석촌동(송파사거리 부근),5,5,0,4,1,0
서울특별시 송파구3,서울특별시 송파구 가락동(문정시영아파트 부근),4,4,0,4,0,0
서울특별시 송파구4,서울특별시 송파구 방이동(방이초교앞 부근),3,3,0,2,1,0
서울특별시 송파구5,서울특별시 송파구 송파동(송파지하차도북측 부근),3,3,0,2,1,0
서울특별시 송파구6,서울특별시 송파구 마천동(성내2교남단 부근),3,3,0,2,1,0
서울특별시 강동구1,서울특별시 강동구 천호동(광진교앞 부근),8,10,0,5,5,0
서울특별시 강동구2,서울특별시 강동구 천호동(천동초교입구 부근),6,6,0,3,2,1
서울특별시 강동구3,서울특별시 강동구 천호동(리코하이빌입구 부근),5,6,0,5,1,0
서울특별시 강동구4,서울특별시 강동구 명일동(황제당구장 부근),4,7,1,4,2,0
서울특별시 강동구5,서울특별시 강동구 천호동(강동구민회관 부근),4,5,0,4,1,0
서울특별시 강동구6,서울특별시 강동구 암사동(브라운스톤아파트앞 부근),4,4,0,3,1,0
서울특별시 강동구7,서울특별시 강동구 둔촌동(일자산입구 부근),3,3,2,0,0,1
서울특별시 강동구8,서울특별시 강동구 성내동(성일초교 부근),3,3,0,1,2,0
