emd_cd,emd_eng_nm,emd_kor_nm,NUMPOINTS
11110106,Tongui-dong,통의동,0
11320108,Dobong-dong,도봉동,0
11350102,Wolgye-dong,월계동,0
11110107,Jeokseon-dong,적선동,0
11350103,Gongneung-dong,공릉동,1
11350104,Hagye-dong,하계동,2
11350105,Sanggye-dong,상계동,0
11350106,Junggye-dong,중계동,1
11380101,Susaek-dong,수색동,0
11380102,Nokbeon-dong,녹번동,0
11380104,Galhyeon-dong,갈현동,1
11380103,Bulgwang-dong,불광동,1
11380105,Gusan-dong,구산동,2
11380106,Daejo-dong,대조동,1
11380107,Eungam-dong,응암동,1
11380108,Yeokchon-dong,역촌동,1
11380109,Sinsa-dong,신사동,1
11380110,Jeungsan-dong,증산동,0
11380114,Jingwan-dong,진관동,1
11410104,Migeun-dong,미근동,0
11410108,Yeongcheon-dong,영천동,0
11410105,Naengcheon-dong,냉천동,0
11410106,Cheonyeon-dong,천연동,0
11410115,Bongwon-dong,봉원동,0
11410109,Hyeonjeo-dong,현저동,0
11440105,Yonggang-dong,용강동,0
11410110,Bugahyeon-dong,북아현동,0
11440106,Tojeong-dong,토정동,0
11410111,Hongje-dong,홍제동,0
11410112,Daehyeon-dong,대현동,0
11440107,Mapo-dong,마포동,0
11410113,Daesin-dong,대신동,0
11110154,Jangsa-dong,장사동,0
11410114,Sinchon-dong,신촌동,0
11410116,Changcheon-dong,창천동,0
11440110,Nogosan-dong,노고산동,0
11410117,Yeonhui-dong,연희동,0
11110155,Gwansu-dong,관수동,0
11410118,Hongeun-dong,홍은동,0
11410119,Bukgajwa-dong,북가좌동,0
11410120,Namgajwa-dong,남가좌동,0
11440101,Ahyeon-dong,아현동,0
11710106,Samjeon-dong,삼전동,1
11440102,Gongdeok-dong,공덕동,0
11440103,Singongdeok-dong,신공덕동,0
11440113,Gusu-dong,구수동,0
11440104,Dohwa-dong,도화동,0
11440108,Daeheung-dong,대흥동,1
11440117,Sinjeong-dong,신정동,0
11440109,Yeomni-dong,염리동,0
11440111,Sinsu-dong,신수동,0
11440112,Hyeonseok-dong,현석동,0
11440114,Changjeon-dong,창전동,0
11440115,Sangsu-dong,상수동,0
11440116,Hajung-dong,하중동,0
11440118,Dangin-dong,당인동,0
11440120,Seogyo-dong,서교동,0
11440126,Jung-dong,중동,0
11440121,Donggyo-dong,동교동,0
11440122,Hapjeong-dong,합정동,0
11440123,Mangwon-dong,망원동,0
11440124,Yeonnam-dong,연남동,0
11440125,Seongsan-dong,성산동,0
11440127,Sangam-dong,상암동,0
11470101,Sinjeong-dong,신정동,3
11470102,Mok-dong,목동,0
11470103,Sinwol-dong,신월동,4
11500101,Yeomchang-dong,염창동,0
11500102,Deungchon-dong,등촌동,3
11500103,Hwagok-dong,화곡동,6
11500104,Gayang-dong,가양동,0
11110165,Ihwa-dong,이화동,1
11110166,Yeongeon-dong,연건동,0
11140107,Samgak-dong,삼각동,0
11110167,Chungsin-dong,충신동,0
11110168,Dongsung-dong,동숭동,0
11110169,Hyehwa-dong,혜화동,0
11110179,Hongpa-dong,홍파동,0
11110174,Changsin-dong,창신동,0
11110175,Sungin-dong,숭인동,0
11110181,Haengchon-dong,행촌동,0
11140108,Suha-dong,수하동,0
11110182,Gugi-dong,구기동,0
11110183,Pyeongchang-dong,평창동,0
11140109,Janggyo-dong,장교동,0
11110184,Buam-dong,부암동,0
11110185,Hongji-dong,홍지동,0
11140110,Supyo-dong,수표동,0
11110186,Sinyeong-dong,신영동,0
11110187,Muak-dong,무악동,1
11140101,Mugyo-dong,무교동,0
11710112,Ogeum-dong,오금동,0
11140113,Bukchang-dong,북창동,0
11140111,Sogong-dong,소공동,0
11140112,Namchang-dong,남창동,0
11140140,Namhak-dong,남학동,0
11140141,Juja-dong,주자동,0
11140142,Yejang-dong,예장동,0
11140135,Yegwan-dong,예관동,0
11140136,Mukjeong-dong,묵정동,0
11140147,Ssangnim-dong,쌍림동,0
11140152,Jugyo-dong,주교동,0
11410103,Hap-dong,합동,0
11140153,Bangsan-dong,방산동,0
11140154,Ojang-dong,오장동,0
11140159,Cho-dong,초동,0
11170116,Cheongam-dong,청암동,0
11140162,Sindang-dong,신당동,0
11140165,Hwanghak-dong,황학동,0
11140166,Seosomun-dong,서소문동,0
11140167,Jeong-dong,정동,0
11140168,Sunhwa-dong,순화동,0
11170101,Huam-dong,후암동,0
11170120,Dowon-dong,도원동,0
11170104,Garwol-dong,갈월동,0
11110176,Gyonam-dong,교남동,0
11170105,Namyeong-dong,남영동,0
11110177,Pyeong-dong,평동,0
11170107,Dongja-dong,동자동,0
11170108,Seogye-dong,서계동,0
11110178,Songwol-dong,송월동,0
11200118,Songjeong-dong,송정동,0
11170114,Sinchang-dong,신창동,0
11110108,Tongin-dong,통인동,0
11170115,Sancheon-dong,산천동,0
11110114,Naeja-dong,내자동,0
11170119,Hyochang-dong,효창동,0
11170121,Yongmun-dong,용문동,1
11170122,Munbae-dong,문배동,0
11170123,Singye-dong,신계동,0
11110116,Doryeom-dong,도렴동,0
11170129,Ichon-dong,이촌동,0
11170130,Itaewon-dong,이태원동,0
11170131,Hannam-dong,한남동,2
11170132,Dongbinggo-dong,동빙고동,0
11170133,Seobinggo-dong,서빙고동,0
11170134,Juseong-dong,주성동,0
11170136,Bogwang-dong,보광동,0
11200101,Sangwangsimni-dong,상왕십리동,0
11200102,Hawangsimni-dong,하왕십리동,1
11230101,Sinseol-dong,신설동,0
11200103,Hongik-dong,홍익동,1
11200104,Doseon-dong,도선동,0
11200105,Majang-dong,마장동,1
11200106,Sageun-dong,사근동,0
11200107,Haengdang-dong,행당동,0
11230109,Hwigyeong-dong,휘경동,0
11230110,Imun-dong,이문동,0
11110143,Hwa-dong,화동,0
11110102,Singyo-dong,신교동,0
11560118,Dorim-dong,도림동,0
11110144,Sagan-dong,사간동,0
11110145,Songhyeon-dong,송현동,0
11110123,Seorin-dong,서린동,0
11110127,Gongpyeong-dong,공평동,0
11650106,Jamwon-dong,잠원동,0
