"Objt_id","Fclty_ty","Fclty_cd","Fclty_id","Fclty_nm","Adres","Rn_adres","Telno","X","Y","Ctprvn_cd","Sgg_cd","Emd_cd"
2176152.00000000000,"방범등",5080200000000.00000000000,1085405,"","","","",126.17654630500,33.30543180540,"제주특별자치도","제주시","한경면"
2176153.00000000000,"방범등",5080200000000.00000000000,1085406,"","","","",126.17698703500,33.30390372600,"제주특별자치도","제주시","한경면"
2176154.00000000000,"방범등",5080200000000.00000000000,1085407,"","","","",126.17699902300,33.30417058750,"제주특별자치도","제주시","한경면"
2176155.00000000000,"방범등",5080200000000.00000000000,1085408,"","","","",126.17723129100,33.30277311990,"제주특별자치도","제주시","한경면"
2176156.00000000000,"방범등",5080200000000.00000000000,1085409,"","","","",126.17731613900,33.30307905160,"제주특별자치도","제주시","한경면"
2176157.00000000000,"방범등",5080200000000.00000000000,1085410,"","","","",126.17749092300,33.30329785390,"제주특별자치도","제주시","한경면"
2176158.00000000000,"방범등",5080200000000.00000000000,1085411,"","","","",126.17769227500,33.30281376790,"제주특별자치도","제주시","한경면"
2176159.00000000000,"방범등",5080200000000.00000000000,1085412,"","","","",126.17799781100,33.30451151050,"제주특별자치도","제주시","한경면"
2176160.00000000000,"방범등",5080200000000.00000000000,1085413,"","","","",126.17803092000,33.30290508620,"제주특별자치도","제주시","한경면"
2176161.00000000000,"방범등",5080200000000.00000000000,1085414,"","","","",126.17809957700,33.32084330710,"제주특별자치도","제주시","한경면"
2176162.00000000000,"방범등",5080200000000.00000000000,1085415,"","","","",126.17815126400,33.30351355790,"제주특별자치도","제주시","한경면"
2176163.00000000000,"방범등",5080200000000.00000000000,1085416,"","","","",126.17819663300,33.30323255990,"제주특별자치도","제주시","한경면"
2176164.00000000000,"방범등",5080200000000.00000000000,1085417,"","","","",126.17831879800,33.34709378430,"제주특별자치도","제주시","한경면"
2176165.00000000000,"방범등",5080200000000.00000000000,1085418,"","","","",126.17846284500,33.30049112320,"제주특별자치도","제주시","한경면"
2176166.00000000000,"방범등",5080200000000.00000000000,1085419,"","","","",126.17859039200,33.34670194710,"제주특별자치도","제주시","한경면"
2176167.00000000000,"방범등",5080200000000.00000000000,1085420,"","","","",126.17876033200,33.30461780210,"제주특별자치도","제주시","한경면"
2176168.00000000000,"방범등",5080200000000.00000000000,1085421,"","","","",126.17878335300,33.34918178320,"제주특별자치도","제주시","한경면"
2176169.00000000000,"방범등",5080200000000.00000000000,1085422,"","","","",126.17884011100,33.30486969400,"제주특별자치도","제주시","한경면"
2176170.00000000000,"방범등",5080200000000.00000000000,1085423,"","","","",126.17886411500,33.34630056650,"제주특별자치도","제주시","한경면"
2176171.00000000000,"방범등",5080200000000.00000000000,1085424,"","","","",126.17893596300,33.29996898060,"제주특별자치도","제주시","한경면"
2176172.00000000000,"방범등",5080200000000.00000000000,1085425,"","","","",126.17897643100,33.29975214310,"제주특별자치도","제주시","한경면"
2176173.00000000000,"방범등",5080200000000.00000000000,1085426,"","","","",126.17897854400,33.29985899690,"제주특별자치도","제주시","한경면"
2176174.00000000000,"방범등",5080200000000.00000000000,1085427,"","","","",126.17911201400,33.29994913650,"제주특별자치도","제주시","한경면"
2176175.00000000000,"방범등",5080200000000.00000000000,1085428,"","","","",126.17913578300,33.30256933220,"제주특별자치도","제주시","한경면"
2176176.00000000000,"방범등",5080200000000.00000000000,1085429,"","","","",126.17913953300,33.34911787130,"제주특별자치도","제주시","한경면"
2176177.00000000000,"방범등",5080200000000.00000000000,1085430,"","","","",126.17933545200,33.29977606280,"제주특별자치도","제주시","한경면"
2176178.00000000000,"방범등",5080200000000.00000000000,1085431,"","","","",126.17949089300,33.34897233270,"제주특별자치도","제주시","한경면"
2176179.00000000000,"방범등",5080200000000.00000000000,1085432,"","","","",126.17960145300,33.29986175840,"제주특별자치도","제주시","한경면"
2176180.00000000000,"방범등",5080200000000.00000000000,1085433,"","","","",126.17964602100,33.30569772310,"제주특별자치도","제주시","한경면"
2176181.00000000000,"방범등",5080200000000.00000000000,1085434,"","","","",126.17971794600,33.30369232790,"제주특별자치도","제주시","한경면"
2176182.00000000000,"방범등",5080200000000.00000000000,1085435,"","","","",126.17974510400,33.30457616090,"제주특별자치도","제주시","한경면"
2176183.00000000000,"방범등",5080200000000.00000000000,1085436,"","","","",126.17974896400,33.30443905420,"제주특별자치도","제주시","한경면"
2176184.00000000000,"방범등",5080200000000.00000000000,1085437,"","","","",126.17980187800,33.30108059680,"제주특별자치도","제주시","한경면"
2176185.00000000000,"방범등",5080200000000.00000000000,1085438,"","","","",126.17983556000,33.30353857040,"제주특별자치도","제주시","한경면"
2176186.00000000000,"방범등",5080200000000.00000000000,1085439,"","","","",126.17986408600,33.34882396260,"제주특별자치도","제주시","한경면"
2176187.00000000000,"방범등",5080200000000.00000000000,1085440,"","","","",126.17989911800,33.30480086350,"제주특별자치도","제주시","한경면"
2176188.00000000000,"방범등",5080200000000.00000000000,1085441,"","","","",126.17993673800,33.30125188850,"제주특별자치도","제주시","한경면"
2176189.00000000000,"방범등",5080200000000.00000000000,1085442,"","","","",126.17993749200,33.30176796750,"제주특별자치도","제주시","한경면"
2176190.00000000000,"방범등",5080200000000.00000000000,1085443,"","","","",126.17996006500,33.30456423630,"제주특별자치도","제주시","한경면"
2176191.00000000000,"방범등",5080200000000.00000000000,1085444,"","","","",126.17997143800,33.30100877660,"제주특별자치도","제주시","한경면"
2176192.00000000000,"방범등",5080200000000.00000000000,1085445,"","","","",126.17998072200,33.30444518140,"제주특별자치도","제주시","한경면"
