No.,시설명,설치장소,주소,X,Y
59,하모공원,도시공원,제주특별자치도 서귀포시 대정읍 최남단해안로29번길 22,126.2528133,33.21927008
60,희망공원,도시공원,제주특별자치도 서귀포시 동홍북로22번길 17,126.5708142,33.25757588
61,태양공원,도시공원,제주특별자치도 서귀포시 동홍북로48번길 10,126.5731719,33.25824223
62,대청공원,도시공원,제주특별자치도 서귀포시 신서로 38 ,126.5053223,33.25327382
63,신학공원,도시공원,제주특별자치도 서귀포시 신동로27번길 6-7 ,126.5119634,33.25160517
64,미래2공원,도시공원,제주특별자치도 서귀포시 신동로67번길 40,126.5111821,33.25699375
65,미래1공원,도시공원,제주특별자치도 서귀포시 신서귀로76번길 46,126.513402,33.25918442
66,문화2공원,도시공원,제주특별자치도 서귀포시 신서로88번길 18,126.5077649,33.25780067
67,문화1공원,도시공원,제주특별자치도 서귀포시 신서로102번길 25-1,126.5084316,33.25946229
68,중앙공원,도시공원,제주특별자치도 서귀포시 중앙로62번길 18,126.5636505,33.25013045
69,천지동공원,도시공원,제주특별자치도 서귀포시 서문서로 43,126.5583979,33.25118472
70,제석공원,도시공원,제주특별자치도 서귀포시 태평로 438,126.5670635,33.24568845
71,노형제1근린공원,도시공원,제주특별자치도 제주시 정존5길 67,126.4702642,33.48602048
72,삼무공원,도시공원,제주특별자치도 제주시 신대로10길 48-9,126.4915138,33.49162766
73,신산공원,도시공원,제주특별자치도 제주시 신산로 92-12,126.5336747,33.50523706
74,샘물공원,도시공원,제주특별자치도 제주시 조천읍 신북로 621,126.6758494,33.54039592
75,함덕2호어린이공원,도시공원,제주특별자치도 제주시 조천읍 함와로 10,126.6741637,33.53917432
76,함덕1호어린이공원,도시공원,제주특별자치도 제주시 조천읍 함덕24길 14-4,126.6758306,33.53967461
77,세화어린이공원,도시공원,제주특별자치도 제주시 구좌읍 세평항로 36,126.8549202,33.52640409
78,102호어린이공원,도시공원,제주특별자치도 제주시 구남로2길 47,126.5358433,33.48618578
79,101호어린이공원,도시공원,제주특별자치도 제주시 구남로6길 27-2,126.5360917,33.48802595
80,98호어린이공원,도시공원,제주특별자치도 제주시 복지로7길 8,126.5258466,33.48832954
